,,,,,,,,,ESTADÍSTICA AGRÍCOLA EN DISTRITOS DE RIEGO
,,,,,,,,,AÑO AGRÍCOLA 2019-2020
,,,,,,,,,
CULTIVO,MODALIDAD,DISTRITO,,SUP SEMBRADA,SUP COSECHADA,REND,PRODUCCIÓN,PMR,VALOR DE PROD
,,,,ha,ha,ton/ha,ton,$/ton,$
,,023,"San Juan Del Rio, Qro.",  17 ,  17 ,"  20,5 ",  356 ,  16.053 ,  5.712.968 
,,024,"Cienega De Chapala, Mich.",  454 ,  454 ,"  45,0 ",  20.414 ,  11.000 ,  224.556.750 
,,035,"La Antigua, Ver.",  25 ,  25 ,"  17,9 ",  447 ,  8.840 ,  3.955.200 
,,038,"Rio Mayo, Son.",  6 ,  6 ,"  28,3 ",  170 ,  8.256 ,  1.402.860 
,,041,"Rio Yaqui, Son.",  78 ,  78 ,"  34,7 ",  2.707 ,  6.757 ,  18.292.602 
,,043,"Edo. De Nayarit, Nay.",  2.113 ,  2.113 ,"  12,4 ",  26.199 ,  11.724 ,  307.162.071 
,,045,"Tuxpan, Mich.",  228 ,  228 ,"  13,8 ",  3.139 ,  2.100 ,  6.592.110 
,,048,"Ticul, Yuc.",  8 ,  7 ,"  19,3 ",  131 ,  7.272 ,  949.231 
,,057,"Amuco Cutzamala, Gro.",  217 ,  217 ,"  30,5 ",  6.612 ,  3.134 ,  20.723.350 
,,061,"Zamora, Mich.",  329 ,  329 ,"  15,8 ",  5.193 ,  5.549 ,  28.814.846 
,,066,"Sto. Domingo, Bcs.",  134 ,  134 ,"  15,7 ",  2.104 ,  9.218 ,  19.395.400 
,,075,"Rio Fuerte, Sin.",  1.151 ,  1.151 ,"  22,8 ",  26.239 ,  6.343 ,  166.427.124 
,,076,"Valle Del Carrizo, Sin.",  18 ,  18 ,"  18,2 ",  325 ,  3.900 ,  1.267.703 
,,084,"Guaymas, Son.",  1.247 ,  1.247 ,"  71,1 ",  88.610 ,  6.081 ,  538.845.431 
,,090,"Bajo Rio Conchos, Chih.",  3 ,  3 ,"  8,5 ",  26 ,  3.650 ,  93.075 
,,094,"Jalisco Sur, Jal.",  2 ,  2 ,"  26,0 ",  55 ,  4.000 ,  220.480 
,,097,"Lazaro Cardenas, Mich.",  33 ,  33 ,"  15,3 ",  498 ,  2.593 ,  1.291.200 
,,098,"Jose Maria Morelos, Mich.",  66 ,  66 ,"  7,8 ",  512 ,  7.700 ,  3.945.172 
,,101,"Cuxtepeques, Chis.",  20 ,  20 ,"  24,0 ",  480 ,  4.200 ,  2.016.000 
,,107,"San Gregorio, Chis.",  110 ,  110 ,"  29,0 ",  3.190 ,  4.000 ,  12.760.000 
,,108,"Elota-Piaxtla, Sin.",  120 ,  120 ,"  43,0 ",  5.156 ,  2.000 ,  10.311.400 
,,109,"Río San Lorenzo, Sin.",  104 ,  104 ,"  42,6 ",  4.428 ,  11.377 ,  50.382.325 
,,111,"Baluarte-Presidio, Sin.",  150 ,  150 ,"  50,0 ",  7.500 ,  4.560 ,  34.200.000 
Total Otras Hortalizas,,,,  12.084 ,  12.082 ,"  32,9 ",  397.063 ,  13.296 ,  5.279.273.722 
Otros Cultivos,,001,"Pabellón, Ags.",  14 ,  14 ,"  70,6 ",  989 ,  1.932 ,  1.910.780 
,,003,"Tula, Hgo.",  97 ,  97 ,"  10,0 ",  970 ,  8.000 ,  7.760.000 
,,004,"Don Martín, N.L.",  34 ,  33 ,"  1,8 ",  60 ,  10.000 ,  599.400 
,,005,"Cd. Delicias, Chih.",  2.118 ,  2.118 ,"  46,0 ",  97.428 ,  5.800 ,  565.082.400 
,,006,"Palestina, Coah.",  5 ,  5 ,"  12,0 ",  60 ,  450 ,  27.000 
,,008,"Meztitlan, Hgo.",  67 ,  67 ,"  12,4 ",  829 ,  10.605 ,  8.792.404 
,,010,"Culiacan-Humaya, Sin.",  25 ,  25 ,"  11,7 ",  293 ,  3.900 ,  1.140.750 
,,014,"Rio Colorado, BC.",  188 ,  188 ,"  16,1 ",  3.031 ,  14.151 ,  42.885.455 
,,016,"Edo.De Morelos, Mor.",  845 ,  845 ,"  10,5 ",  8.873 ,  3.771 ,  33.460.350 
,,018,"Colonias Yaquis, Son.",  159 ,  159 ,"  32,1 ",  5.109 ,  5.711 ,  29.180.010 
,,019,"Tehuantepec, Oax.",  507 ,  507 ,"  3,0 ",  1.520 ,  10.500 ,  15.962.625 
,,023,"San Juan Del Rio, Qro.",  42 ,  42 ,"  32,0 ",  1.337 ,  18.825 ,  25.177.730 
,,024,"Cienega De Chapala, Mich.",  98 ,  98 ,"  35,2 ",  3.471 ,  3.919 ,  13.602.135 
,,028,"Tulancingo, Hgo.",  9 ,  9 ,"  5,3 ",  48 ,  6.804 ,  324.551 
,,034,"Edo. De Zacatecas, Zac.",  7 ,  3 ,"  8,1 ",  28 ,  7.000 ,  196.000 
,,035,"La Antigua, Ver.",  501 ,  501 ,"  27,7 ",  13.915 ,  6.568 ,  91.398.000 
,,037,"Altar Pitiquito, Son.",  3 ,  3 ,"  6,0 ",  15 ,  24.293 ,  364.395 
,,038,"Rio Mayo, Son.",  29 ,  29 ,"  2,4 ",  71 ,  3.603 ,  254.920 
,,041,"Rio Yaqui, Son.",  293 ,  293 ,"  34,5 ",  10.124 ,  5.700 ,  57.706.943 
,,043,"Edo. De Nayarit, Nay.",  45 ,  45 ,"  11,9 ",  535 ,  2.367 ,  1.266.120 
,,045,"Tuxpan, Mich.",  412 ,  412 ,"  12,7 ",  5.235 ,  2.504 ,  13.104.800 
,,049,"Rio Verde, S.L.P.",  33 ,  33 ,"  12,0 ",  396 ,  10.000 ,  3.960.000 
,,057,"Amuco Cutzamala, Gro.",  42 ,  42 ,"  5,5 ",  232 ,  3.150 ,  731.981 
,,068,"Tepecoacuilco, Gro.",  8 ,  8 ,"  10,2 ",  77 ,  4.189 ,  323.493 
,,075,"Rio Fuerte, Sin.",  912 ,  912 ,"  10,9 ",  9.928 ,  6.009 ,  59.662.037 
,,076,"Valle Del Carrizo, Sin.",  419 ,  419 ,"  1,7 ",  702 ,  10.523 ,  7.392.319 
,,082,"Rio Blanco, Ver.",  60 ,  60 ,"  20,0 ",  1.196 ,  5.200 ,  6.219.200 
,,083,"Papigochic, Chih.",  33 ,  33 ,"  2,0 ",  64 ,  9.982 ,  639.075 
,,084,"Guaymas, Son.",  104 ,  104 ,"  14,0 ",  1.460 ,  1.408 ,  2.055.338 
,,086,"Soto La Marina, Tamps.",  491 ,  491 ,"  0,6 ",  293 ,  14.000 ,  4.104.660 
,,097,"Lazaro Cardenas, Mich.",  1.041 ,  1.041 ,"  25,4 ",  26.440 ,  304 ,  8.047.400 
,,100,"Alfajayucan, Hgo.",  230 ,  230 ,"  3,1 ",  716 ,  3.674 ,  2.631.474 
,,110,"Rio Verde-Progreso, Oax.",  15 ,  15 ,"  8,0 ",  120 ,  3.800 ,  456.000 
,,112,"Ajacuba, Hgo.",  11 ,  11 ,"  10,0 ",  110 ,  8.000 ,  880.000 
,,113,"Alto Río Conchos, Chih.",  35 ,  35 ,"  20,8 ",  728 ,  2.760 ,  2.009.280 
Total Otros Cultivos,,,,  8.932 ,  8.927 ,"  22,0 ",  196.403 ,  5.139 ,  1.009.309.023 
Otros Cultivos (Invernaderos),,023,"San Juan Del Rio, Qro.",  51 ,  51 ,"  120,0 ",  6.179 ,  16.797 ,  103.784.160 
Total Otros Cultivos (Invernaderos),,,,  51 ,  51 ,"  120,0 ",  6.179 ,  16.797 ,  103.784.160 
Otros Cultivos (Viveros),,053,"Edo. De Colima, Col.",  93 ,  93 ,"  21,3 ",  1.983 ,  8.112 ,  16.085.500 
Total Otros Cultivos (Viveros),,,,  93 ,  93 ,"  21,3 ",  1.983 ,  8.112 ,  16.085.500 
Otros Forrajes,Verde,009,"Cd. Juarez, Chih.",  216 ,  216 ,"  40,0 ",  8.640 ,  580 ,  5.011.200 
,,010,"Culiacan-Humaya, Sin.",  891 ,  891 ,"  32,0 ",  28.512 ,  650 ,  18.532.800 
,,016,"Edo.De Morelos, Mor.",  320 ,  320 ,"  25,5 ",  8.160 ,  3.000 ,  24.480.000 
,,020,"Morelia, Mich.",  164 ,  164 ,"  13,0 ",  2.132 ,  1.459 ,  3.109.600 
,,037,"Altar Pitiquito, Son.",  28 ,  28 ,"  16,3 ",  457 ,  666 ,  304.303 
,,038,"Rio Mayo, Son.",  19 ,  19 ,"  17,8 ",  334 ,  857 ,  286.184 
,,076,"Valle Del Carrizo, Sin.",  193 ,  193 ,"  38,5 ",  7.442 ,  485 ,  3.609.208 
,,088,"Chiconautla, Mex.",  28 ,  28 ,"  15,0 ",  420 ,  3.800 ,  1.596.000 
,,094,"Jalisco Sur, Jal.",  48 ,  48 ,"  12,5 ",  599 ,  1.750 ,  1.048.031 
,,109,"Río San Lorenzo, Sin.",  30 ,  30 ,"  24,0 ",  720 ,  310 ,  223.200 
Total Otros Forrajes,,,,  1.937 ,  1.937 ,"  29,6 ",  57.415 ,  1.014 ,  58.200.527 
Otros Frutales,,001,"Pabellón, Ags.",  100 ,  100 ,"  12,5 ",  1.247 ,  21.583 ,  26.913.652 
,,010,"Culiacan-Humaya, Sin.",  359 ,  359 ,"  16,0 ",  5.744 ,  4.000 ,  22.976.000 
,,016,"Edo.De Morelos, Mor.",  389 ,  389 ,"  15,0 ",  5.835 ,  5.000 ,  29.175.000 
,,017,"Region Lagunera,Coah.Dgo.",  55 ,  55 ,"  5,0 ",  275 ,  25.000 ,  6.875.000 
,,023,"San Juan Del Rio, Qro.",  6 ,  6 ,"  15,9 ",  90 ,  14.879 ,  1.339.855 
,,035,"La Antigua, Ver.",  39 ,  39 ,"  26,4 ",  1.030 ,  8.369 ,  8.620.000 
,,038,"Rio Mayo, Son.",  29 ,  29 ,"  20,5 ",  588 ,  3.777 ,  2.222.198 
,,043,"Edo. De Nayarit, Nay.",  6 ,  6 ,"  6,0 ",  35 ,  4.800 ,  166.752 
,,046,"Cacahoatan, Chis.",  25 ,  25 ,"  14,3 ",  358 ,  10.390 ,  3.722.218 
,,048,"Ticul, Yuc.",  129 ,  129 ,"  15,2 ",  1.961 ,  3.104 ,  6.088.434 
,,057,"Amuco Cutzamala, Gro.",  186 ,  186 ,"  6,7 ",  1.248 ,  1.863 ,  2.325.342 
,,063,"Guasave, Sin.",  462 ,  462 ,"  20,0 ",  9.249 ,  2.300 ,  21.272.240 
,,066,"Sto. Domingo, Bcs.",  75 ,  75 ,"  6,0 ",  450 ,  9.550 ,  4.297.500 
,,075,"Rio Fuerte, Sin.",  438 ,  438 ,"  45,9 ",  20.105 ,  12.583 ,  252.972.097 
,,084,"Guaymas, Son.",  25 ,  25 ,"  4,7 ",  118 ,  22.994 ,  2.713.300 
,,094,"Jalisco Sur, Jal.",  3 ,  3 ,"  35,0 ",  105 ,  5.286 ,  555.030 
,,097,"Lazaro Cardenas, Mich.",  520 ,  520 ,"  37,8 ",  19.652 ,  5.461 ,  107.318.993 
,,109,"Río San Lorenzo, Sin.",  103 ,  103 ,"  8,9 ",  917 ,  7.985 ,  7.319.483 
Total Otros Frutales,,,,  2.948 ,  2.948 ,"  23,4 ",  69.007 ,  7.345 ,  506.873.093 
Otros Industriales,,043,"Edo. De Nayarit, Nay.",  1 ,  1 ,"  1,5 ",  1 ,  13.500 ,  10.125 
Total Otros Industriales,,,,  1 ,  1 ,"  1,5 ",  1 ,  13.500 ,  10.125 
Otros Pastos,Verde,001,"Pabellón, Ags.",  206 ,  206 ,"  64,2 ",  13.225 ,  599 ,  7.926.429 
,,006,"Palestina, Coah.",  4 ,  4 ,"  24,5 ",  98 ,  520 ,  50.960 
,,011,"Alto Rio Lerma, Gto.",  2 ,  2 ,"  12,6 ",  25 ,  1.360 ,  34.272 
,,013,"Edo. De Jalisco, Jal.",  168 ,  168 ,"  27,7 ",  4.638 ,  741 ,  3.436.353 
,,034,"Edo. De Zacatecas, Zac.",  47 ,  47 ,"  11,8 ",  556 ,  3.053 ,  1.697.057 
,,042,"Buenaventura, Chih.",  127 ,  127 ,"  32,5 ",  4.121 ,  1.950 ,  8.035.950 
,,043,"Edo. De Nayarit, Nay.",  25 ,  25 ,"  360,0 ",  9.000 ,  1.000 ,  9.000.000 
,,056,"Atoyac-Zahuapan, Tlax.",  70 ,  70 ,"  75,0 ",  5.250 ,  700 ,  3.675.000 
,,063,"Guasave, Sin.",  207 ,  207 ,"  40,4 ",  8.378 ,  2.200 ,  18.431.314 
,,068,"Tepecoacuilco, Gro.",  10 ,  10 ,"  40,5 ",  385 ,  276 ,  106.211 
,,075,"Rio Fuerte, Sin.",  1.185 ,  1.185 ,"  22,4 ",  26.576 ,  4.747 ,  126.165.606 
,,098,"Jose Maria Morelos, Mich.",  70 ,  70 ,"  45,0 ",  3.150 ,  1.000 ,  3.150.000 
,,100,"Alfajayucan, Hgo.",  87 ,  87 ,"  118,1 ",  10.277 ,  400 ,  4.110.800 
Total Otros Pastos,,,,  2.207 ,  2.207 ,"  38,8 ",  85.678 ,  2.169 ,  185.819.953 
Palma Aceitera (Palma africana),,046,"Cacahoatan, Chis.",  123 ,  123 ,"  65,3 ",  7.999 ,  1.990 ,  15.918.508 
,,066,"Sto. Domingo, Bcs.",  44 ,  -   ,  -   ,  -   ,  -   ,  -   
Total Palma Aceitera (Palma africana),,,,  167 ,  123 ,"  65,3 ",  7.999 ,  1.990 ,  15.918.508 
Papa,,037,"Altar Pitiquito, Son.",  651 ,  651 ,"  44,1 ",  28.696 ,  7.080 ,  203.156.142 
,,038,"Rio Mayo, Son.",  4.049 ,  4.049 ,"  29,8 ",  120.788 ,  8.566 ,  1.034.669.445 
,,041,"Rio Yaqui, Son.",  4.591 ,  4.591 ,"  32,0 ",  146.918 ,  7.512 ,  1.103.648.617 
,,045,"Tuxpan, Mich.",  21 ,  21 ,"  23,0 ",  483 ,  6.700 ,  3.236.100 
,,063,"Guasave, Sin.",  1.417 ,  1.417 ,"  33,9 ",  48.082 ,  5.000 ,  240.408.600 
,,066,"Sto. Domingo, Bcs.",  2.251 ,  2.251 ,"  33,9 ",  76.284 ,  8.256 ,  629.793.525 
,,074,"Mocorito, Sin.",  25 ,  25 ,"  30,0 ",  750 ,  9.000 ,  6.750.000 
,,075,"Rio Fuerte, Sin.",  12.843 ,  12.843 ,"  37,2 ",  477.767 ,  7.570 ,  3.616.599.315 
,,076,"Valle Del Carrizo, Sin.",  191 ,  191 ,"  14,0 ",  2.676 ,  13.500 ,  36.127.350 
Total Papa,,,,  26.040 ,  26.040 ,"  34,7 ",  902.443 ,  7.618 ,  6.874.389.094 
Pápalo (Papaloquelite),,068,"Tepecoacuilco, Gro.",  245 ,  245 ,"  11,5 ",  2.832 ,  2.739 ,  7.755.437 
Total Pápalo (Papaloquelite),,,,  245 ,  245 ,"  11,5 ",  2.832 ,  2.739 ,  7.755.437 
Papayo,,016,"Edo.De Morelos, Mor.",  5 ,  5 ,"  31,0 ",  155 ,  6.500 ,  1.007.500 
,,035,"La Antigua, Ver.",  22 ,  22 ,"  40,0 ",  868 ,  7.171 ,  6.224.000 
,,043,"Edo. De Nayarit, Nay.",  133 ,  133 ,"  56,2 ",  7.450 ,  3.739 ,  27.851.400 
,,053,"Edo. De Colima, Col.",  1.125 ,  1.125 ,"  75,5 ",  84.900 ,  7.632 ,  647.970.000 
,,057,"Amuco Cutzamala, Gro.",  39 ,  39 ,"  32,7 ",  1.277 ,  2.357 ,  3.009.336 
,,068,"Tepecoacuilco, Gro.",  9 ,  9 ,"  28,5 ",  242 ,  3.850 ,  932.663 
,,092A,"Rio Panuco, Unidad Animas.",  50 ,  50 ,"  50,0 ",  2.500 ,  4.000 ,  10.000.000 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  455 ,  455 ,"  46,1 ",  20.933 ,  6.000 ,  125.595.000 
,,093,"Tomatlan, Jal.",  154 ,  152 ,"  90,9 ",  13.817 ,  5.450 ,  75.301.560 
,,095,"Atoyac, Gro.",  41 ,  41 ,"  19,0 ",  779 ,  2.000 ,  1.558.000 
,,097,"Lazaro Cardenas, Mich.",  1.624 ,  1.624 ,"  53,0 ",  86.115 ,  5.420 ,  466.723.000 
,,098,"Jose Maria Morelos, Mich.",  40 ,  40 ,"  46,0 ",  1.840 ,  3.500 ,  6.440.000 
,,101,"Cuxtepeques, Chis.",  100 ,  100 ,"  118,0 ",  11.800 ,  5.800 ,  68.440.000 
,,105,"Nexpa, Gro.",  1 ,  1 ,"  30,0 ",  15 ,  2.500 ,  37.500 
,,107,"San Gregorio, Chis.",  20 ,  20 ,"  70,0 ",  1.400 ,  5.500 ,  7.700.000 
,,110,"Rio Verde-Progreso, Oax.",  220 ,  220 ,"  95,0 ",  20.900 ,  3.000 ,  62.700.000 
Total Papayo,,,,  4.036 ,  4.034 ,"  63,2 ",  254.990 ,  5.928 ,  1.511.489.959 
Pasto Blanco (zacate),Verde,019,"Tehuantepec, Oax.",  14.310 ,  14.310 ,"  32,0 ",  457.920 ,  500 ,  228.960.000 
Total Pasto Blanco (zacate),,,,  14.310 ,  14.310 ,"  32,0 ",  457.920 ,  500 ,  228.960.000 
Pepino,,010,"Culiacan-Humaya, Sin.",  1.762 ,  1.762 ,"  86,8 ",  152.819 ,  4.050 ,  618.916.140 
,,016,"Edo.De Morelos, Mor.",  88 ,  88 ,"  37,0 ",  3.256 ,  5.500 ,  17.908.000 
,,034,"Edo. De Zacatecas, Zac.",  5 ,  3 ,"  59,3 ",  148 ,  1.820 ,  269.961 
,,035,"La Antigua, Ver.",  6 ,  6 ,"  16,0 ",  88 ,  5.000 ,  440.000 
,,037,"Altar Pitiquito, Son.",  196 ,  196 ,"  105,4 ",  20.666 ,  6.713 ,  138.733.916 
,,041,"Rio Yaqui, Son.",  366 ,  366 ,"  87,0 ",  31.864 ,  6.018 ,  191.756.048 
,,043,"Edo. De Nayarit, Nay.",  82 ,  82 ,"  34,5 ",  2.835 ,  4.004 ,  11.349.170 
,,045,"Tuxpan, Mich.",  117 ,  117 ,"  20,0 ",  2.340 ,  910 ,  2.130.000 
,,048,"Ticul, Yuc.",  3 ,  1 ,"  15,8 ",  22 ,  6.314 ,  141.629 
,,051,"Costa De Hermosillo, Son.",  284 ,  284 ,"  141,1 ",  40.018 ,  8.550 ,  342.155.359 
,,053,"Edo. De Colima, Col.",  637 ,  637 ,"  26,0 ",  16.542 ,  4.680 ,  77.418.500 
,,061,"Zamora, Mich.",  28 ,  28 ,"  31,9 ",  891 ,  4.009 ,  3.573.282 
,,063,"Guasave, Sin.",  124 ,  124 ,"  40,0 ",  4.960 ,  5.000 ,  24.800.000 
,,075,"Rio Fuerte, Sin.",  242 ,  242 ,"  39,2 ",  9.481 ,  3.487 ,  33.058.072 
,,082,"Rio Blanco, Ver.",  14 ,  14 ,"  26,0 ",  372 ,  4.000 ,  1.487.200 
,,084,"Guaymas, Son.",  745 ,  745 ,"  136,0 ",  101.286 ,  6.666 ,  675.184.806 
,,085,"La Begoña, Gto.",  1 ,  1 ,"  15,0 ",  15 ,  8.500 ,  127.500 
,,092A,"Rio Panuco, Unidad Animas.",  22 ,  22 ,"  21,0 ",  462 ,  7.500 ,  3.465.000 
,,093,"Tomatlan, Jal.",  6 ,  5 ,"  48,0 ",  240 ,  4.950 ,  1.188.000 
,,094,"Jalisco Sur, Jal.",  50 ,  50 ,"  34,5 ",  1.725 ,  4.035 ,  6.959.946 
,,097,"Lazaro Cardenas, Mich.",  3.595 ,  3.595 ,"  19,3 ",  69.211 ,  4.537 ,  314.004.545 
,,108,"Elota-Piaxtla, Sin.",  499 ,  499 ,"  52,0 ",  25.969 ,  1.250 ,  32.461.000 
Total Pepino,,,,  8.871 ,  8.866 ,"  54,7 ",  485.210 ,  5.147 ,  2.497.528.072 
Persimonio,,051,"Costa De Hermosillo, Son.",  13 ,  13 ,"  13,5 ",  176 ,  15.722 ,  2.759.250 
Total Persimonio,,,,  13 ,  13 ,"  13,5 ",  176 ,  15.722 ,  2.759.250 
Piña,,043,"Edo. De Nayarit, Nay.",  65 ,  65 ,"  93,8 ",  6.100 ,  5.000 ,  30.500.000 
,,053,"Edo. De Colima, Col.",  352 ,  352 ,"  81,1 ",  28.555 ,  6.482 ,  185.097.900 
,,093,"Tomatlan, Jal.",  420 ,  418 ,"  74,9 ",  31.308 ,  7.250 ,  226.984.450 
Total Piña,,,,  837 ,  835 ,"  79,0 ",  65.963 ,  6.710 ,  442.582.350 
Plátano,,043,"Edo. De Nayarit, Nay.",  492 ,  492 ,"  21,0 ",  10.336 ,  4.227 ,  43.691.352 
,,046,"Cacahoatan, Chis.",  5.170 ,  5.170 ,"  79,0 ",  408.537 ,  5.678 ,  2.319.726.666 
,,048,"Ticul, Yuc.",  15 ,  15 ,"  11,0 ",  167 ,  4.512 ,  754.948 
,,053,"Edo. De Colima, Col.",  10.291 ,  10.291 ,"  67,5 ",  694.132 ,  3.502 ,  2.430.781.900 
,,057,"Amuco Cutzamala, Gro.",  17 ,  17 ,"  31,5 ",  536 ,  1.250 ,  669.375 
,,093,"Tomatlan, Jal.",  962 ,  962 ,"  85,0 ",  81.770 ,  4.560 ,  372.871.200 
,,097,"Lazaro Cardenas, Mich.",  1.956 ,  1.956 ,"  32,7 ",  63.924 ,  1.862 ,  119.018.000 
,,098,"Jose Maria Morelos, Mich.",  100 ,  100 ,"  31,0 ",  3.096 ,  5.500 ,  17.027.653 
,,104,"Cuajinicuilapa, Gro.",  2 ,  2 ,"  14,5 ",  22 ,  3.000 ,  65.025 
,,105,"Nexpa, Gro.",  5 ,  5 ,"  16,0 ",  80 ,  2.500 ,  200.000 
,,110,"Rio Verde-Progreso, Oax.",  245 ,  245 ,"  40,0 ",  9.800 ,  3.600 ,  35.280.000 
Total Plátano,,,,  19.254 ,  19.254 ,"  66,1 ",  1.272.400 ,  4.197 ,  5.340.086.119 
Plátano Asociado,,095,"Atoyac, Gro.",  29 ,  29 ,"  20,0 ",  573 ,  1.900 ,  1.089.080 
,,098,"Jose Maria Morelos, Mich.",  220 ,  220 ,"  32,0 ",  7.040 ,  5.000 ,  35.200.000 
Total Plátano Asociado,,,,  249 ,  249 ,"  30,6 ",  7.613 ,  4.767 ,  36.289.080 
Poro (Leek),,014,"Rio Colorado, BC.",  88 ,  88 ,"  17,6 ",  1.546 ,  7.149 ,  11.053.727 
Total Poro (Leek),,,,  88 ,  88 ,"  17,6 ",  1.546 ,  7.149 ,  11.053.727 
Rábano,,013,"Edo. De Jalisco, Jal.",  9 ,  9 ,"  12,6 ",  113 ,  4.860 ,  548.937 
,,014,"Rio Colorado, BC.",  473 ,  473 ,"  18,1 ",  8.564 ,  12.151 ,  104.059.147 
Total Rábano,,,,  482 ,  482 ,"  18,0 ",  8.677 ,  12.056 ,  104.608.084 
Rambután (Nefelio),,046,"Cacahoatan, Chis.",  113 ,  113 ,"  16,4 ",  1.849 ,  16.592 ,  30.683.536 
Total Rambután (Nefelio),,,,  113 ,  113 ,"  16,4 ",  1.849 ,  16.592 ,  30.683.536 
Rosal,,016,"Edo.De Morelos, Mor.",  333 ,  333 ,"  20,5 ",  6.827 ,  8.500 ,  58.025.250 
,,023,"San Juan Del Rio, Qro.",  83 ,  83 ,"  31,3 ",  2.585 ,  33.399 ,  86.352.562 
Total Rosal,,,,  416 ,  416 ,"  22,6 ",  9.412 ,  15.340 ,  144.377.812 
Rye Grass (Zacate ballico),Verde,003,"Tula, Hgo.",  318 ,  318 ,"  25,0 ",  7.950 ,  490 ,  3.895.500 
,,004,"Don Martín, N.L.",  105 ,  105 ,"  29,1 ",  3.050 ,  1.820 ,  5.550.418 
,,006,"Palestina, Coah.",  18 ,  18 ,"  24,1 ",  434 ,  665 ,  288.477 
,,014,"Rio Colorado, BC.",  3.958 ,  3.958 ,"  34,4 ",  135.957 ,  465 ,  63.248.696 
,,033,"Edo. De Mexico, Mex.",  356 ,  356 ,"  55,0 ",  19.586 ,  750 ,  14.689.125 
,,034,"Edo. De Zacatecas, Zac.",  530 ,  530 ,"  13,7 ",  7.240 ,  2.940 ,  21.287.680 
,,037,"Altar Pitiquito, Son.",  224 ,  224 ,"  16,3 ",  3.648 ,  666 ,  2.429.210 
,,038,"Rio Mayo, Son.",  166 ,  166 ,"  17,8 ",  2.952 ,  857 ,  2.529.718 
,,044,"Jilotepec, Mex.",  150 ,  150 ,"  48,0 ",  7.200 ,  750 ,  5.400.000 
,,052,"Edo. De Durango, Dgo.",  280 ,  280 ,"  66,5 ",  18.603 ,  2.582 ,  48.026.615 
,,083,"Papigochic, Chih.",  406 ,  406 ,"  31,9 ",  12.950 ,  726 ,  9.405.479 
,,090,"Bajo Rio Conchos, Chih.",  186 ,  186 ,"  75,0 ",  13.931 ,  906 ,  12.621.033 
,,096,"Arroyozarco, Mex.",  420 ,  420 ,"  42,0 ",  17.640 ,  750 ,  13.230.000 
,,112,"Ajacuba, Hgo.",  19 ,  19 ,"  25,0 ",  475 ,  490 ,  232.750 
Total Rye Grass (Zacate ballico),,,,  7.135 ,  7.135 ,"  35,3 ",  251.614 ,  806 ,  202.834.701 
Sábila (Aloe),,026,"Bajo Rio San Juan, Tamps.",  85 ,  -   ,  -   ,  -   ,  -   ,  -   
,,038,"Rio Mayo, Son.",  5 ,  5 ,"  12,5 ",  62 ,  1.974 ,  123.048 
,,092A,"Rio Panuco, Unidad Animas.",  605 ,  605 ,"  45,2 ",  27.354 ,  750 ,  20.515.500 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  20 ,  20 ,"  14,0 ",  280 ,  2.700 ,  756.000 
Total Sábila (Aloe),,,,  715 ,  630 ,"  43,9 ",  27.696 ,  772 ,  21.394.548 
Sandía,,005,"Cd. Delicias, Chih.",  4.757 ,  4.757 ,"  56,0 ",  266.392 ,  2.550 ,  679.299.600 
,,006,"Palestina, Coah.",  3 ,  3 ,"  12,5 ",  38 ,  3.520 ,  132.880 
,,010,"Culiacan-Humaya, Sin.",  106 ,  106 ,"  32,0 ",  3.392 ,  5.000 ,  16.960.000 
,,013,"Edo. De Jalisco, Jal.",  9 ,  9 ,"  25,0 ",  225 ,  3.200 ,  720.000 
,,014,"Rio Colorado, BC.",  176 ,  176 ,"  33,2 ",  5.834 ,  4.385 ,  25.583.844 
,,017,"Region Lagunera,Coah.Dgo.",  295 ,  295 ,"  37,9 ",  11.178 ,  2.316 ,  25.882.575 
,,025,"Bajo Rio Bravo, Tamps.",  41 ,  39 ,"  3,8 ",  150 ,  8.000 ,  1.197.924 
,,037,"Altar Pitiquito, Son.",  4 ,  4 ,"  39,0 ",  156 ,  5.070 ,  791.401 
,,038,"Rio Mayo, Son.",  1 ,  1 ,"  34,2 ",  49 ,  3.317 ,  163.499 
,,041,"Rio Yaqui, Son.",  545 ,  545 ,"  47,0 ",  25.633 ,  3.801 ,  97.432.287 
,,043,"Edo. De Nayarit, Nay.",  480 ,  480 ,"  27,6 ",  13.226 ,  4.602 ,  60.857.200 
,,048,"Ticul, Yuc.",  3 ,  -   ,  -   ,  -   ,  -   ,  -   
,,051,"Costa De Hermosillo, Son.",  6.931 ,  6.931 ,"  53,1 ",  367.926 ,  4.951 ,  1.821.722.638 
,,057,"Amuco Cutzamala, Gro.",  2 ,  2 ,"  16,5 ",  33 ,  2.550 ,  84.150 
,,063,"Guasave, Sin.",  366 ,  366 ,"  31,0 ",  11.349 ,  2.500 ,  28.372.750 
,,066,"Sto. Domingo, Bcs.",  13 ,  13 ,"  40,8 ",  530 ,  6.121 ,  3.244.000 
,,074,"Mocorito, Sin.",  26 ,  26 ,"  23,2 ",  602 ,  3.000 ,  1.805.700 
,,075,"Rio Fuerte, Sin.",  260 ,  260 ,"  31,4 ",  8.160 ,  10.698 ,  87.289.297 
