,,,,,,,,,ESTADÍSTICA AGRÍCOLA EN DISTRITOS DE RIEGO
,,,,,,,,,AÑO AGRÍCOLA 2019-2020
,,,,,,,,,
CULTIVO,MODALIDAD,DISTRITO,,SUP SEMBRADA,SUP COSECHADA,REND,PRODUCCIÓN,PMR,VALOR DE PROD
,,,,ha,ha,ton/ha,ton,$/ton,$
,,101,"Cuxtepeques, Chis.",  30 ,  30 ,"  3,0 ",  90 ,  14.000 ,  1.260.000 
Total Cacahuate,,,,  4.348 ,  4.345 ,"  2,6 ",  11.150 ,  16.608 ,  185.177.638 
Cacao (cacaotero),,046,"Cacahoatan, Chis.",  161 ,  161 ,"  1,1 ",  171 ,  55.000 ,  9.402.113 
Total Cacao (cacaotero),,,,  161 ,  161 ,"  1,1 ",  171 ,  55.000 ,  9.402.113 
Café,,046,"Cacahoatan, Chis.",  478 ,  478 ,"  0,6 ",  297 ,  18.379 ,  5.459.848 
Total Café,,,,  478 ,  478 ,"  0,6 ",  297 ,  18.379 ,  5.459.848 
Calabacita (calabacín),,003,"Tula, Hgo.",  951 ,  951 ,"  10,0 ",  9.510 ,  12.000 ,  114.120.000 
,,008,"Meztitlan, Hgo.",  339 ,  339 ,"  35,5 ",  12.017 ,  6.700 ,  80.512.225 
,,011,"Alto Rio Lerma, Gto.",  35 ,  35 ,"  11,9 ",  413 ,  9.000 ,  3.719.286 
,,013,"Edo. De Jalisco, Jal.",  63 ,  63 ,"  11,0 ",  685 ,  3.776 ,  2.588.053 
,,014,"Rio Colorado, BC.",  90 ,  90 ,"  16,4 ",  1.469 ,  5.215 ,  7.661.935 
,,016,"Edo.De Morelos, Mor.",  174 ,  174 ,"  18,0 ",  3.132 ,  6.000 ,  18.792.000 
,,038,"Rio Mayo, Son.",  41 ,  41 ,"  26,0 ",  1.067 ,  5.221 ,  5.572.008 
,,045,"Tuxpan, Mich.",  171 ,  171 ,"  18,0 ",  3.078 ,  4.000 ,  12.312.000 
