,,,,,,,,,,ESTADÍSTICA AGRÍCOLA EN DISTRITOS DE RIEGO
,,,,,,,,,,AÑO AGRÍCOLA 2010-2011
,,,,,,,,,,
DISTRITO,,CICLO,MODALIDAD,CULTIVO,SUP SEMBRADA,SUP COSECHADA,REND,PRODUCCIÓN,PMR,VALOR DE PROD
,,,,,ha,ha,ton/ha,ton,$/ton,$
,,Segundos Cultivos,Riego,Brócoli,307,307,"13,0",3.989,4.135,16.494.580
,,,,Cacahuate,4,4,"4,9",20,6.000,117.600
,,,,Calabacita (calabacín),10,10,"16,0",158,2.670,422.720
,,,,Cebolla,35,35,"23,4",818,738,602.925
,,,,Chile,4,4,"15,0",60,3.000,180.000
,,,,Cilantro,2,2,"22,0",44,900,39.600
,,,,Frijol Asociado,83,83,"2,5",211,10.941,2.312.645
,,,,Lechuga,41,41,"20,8",852,3.495,2.976.200
,,,,Maíz grano,21.638,21.638,"11,3",243.832,4.832,1.178.270.560
,,,,Pepino,6,6,"17,7",106,4.212,446.500
,,,,Sandía,12,12,"21,5",258,2.100,541.800
,,,,Sorgo Grano,45.703,45.703,"9,6",437.711,3.984,1.744.023.278
,,,,Tomate de cáscara (Tomatillo),34,34,"38,1",1.296,1.928,2.499.200
Total 011,,,,,164.183,164.183,"9,2",1.517.587,4.016,6.095.089.561
013,"Edo. De Jalisco, Jal.",Otoño-Invierno,Riego,Avena Forrajera,914,914,"19,7",17.996,695,12.512.431
,,,,Calabacita (calabacín),60,60,"12,4",748,2.612,1.954.186
,,,,Cártamo (Alazor),141,141,"2,3",322,2.961,952.980
,,,,Cebada,151,151,"6,5",988,2.168,2.141.260
,,,,Cebada Forrajera,86,86,"8,5",731,1.534,1.121.651
,,,,Cebolla,147,147,"20,0",2.955,2.701,7.982.845
,,,,Cilantro,43,43,"3,9",168,3.100,521.079
,,,,Col (Repollo),20,20,"39,7",778,1.350,1.050.651
,,,,Ebo (Veza/Janamargo),66,66,"10,6",702,650,456.118
,,,,Ejote,76,76,"8,7",661,2.050,1.355.460
,,,,Garbanzo,46,46,"3,1",145,2.934,426.322
,,,,Maíz Elotero,115,115,"14,3",1.651,1.300,2.146.417
,,,,Maíz grano,2,2,"6,5",13,4.800,62.400
,,,,Tomate de cáscara (Tomatillo),250,250,"21,0",5.250,2.620,13.755.000
,,,,Trigo Grano,11.980,11.980,"6,5",77.761,3.828,297.705.493
,,Primavera-Verano,Riego,Arróz,437,437,"6,0",2.622,3.000,7.866.000
,,,,Avena Forrajera,47,47,"37,0",1.739,450,782.550
,,,,Calabacita (calabacín),39,39,"12,4",487,2.620,1.276.778
,,,,Cebolla,33,33,"16,4",539,2.700,1.454.193
,,,,Chile,46,46,"3,6",164,28.893,4.738.440
,,,,Cilantro,33,33,"3,9",129,3.100,400.179
,,,,Col (Repollo),7,7,"39,9",259,1.350,350.123
,,,,Ejote,34,34,"8,7",293,2.050,601.040
,,,,Garbanzo,3,3,"3,1",9,2.500,23.000
,,,,Jitomate (tomate rojo),1,1,"26,0",34,3.150,106.470
,,,,Maíz Elotero,76,76,"13,6",1.033,1.312,1.354.867
,,,,Maíz Forrajero,1.813,1.813,"56,9",103.121,480,49.498.080
,,,,Maíz grano,4.995,4.995,"8,6",42.782,4.871,208.394.350
,,,,Melón,4,4,"22,9",92,2.100,192.360
,,,,Sorgo Grano,163,163,"7,5",1.223,3.500,4.278.750
,,,,Trigo Grano,580,580,"6,6",3.829,3.814,14.602.200
,,,Temporal,Maíz grano,27.233,27.233,"5,5",149.052,4.975,741.565.536
,,Perennes,Riego,Aguacate,2,2,"8,4",17,5.250,88.200
,,,,Alfalfa,390,390,"70,1",27.318,417,11.393.295
,,,,Caña de Azúcar,10.485,10.485,"89,1",933.850,678,633.153.432
,,,,Guayabo,5,5,"12,6",63,3.150,198.450
,,,,Limón,60,60,"16,9",1.014,2.386,2.419.900
,,,,Membrillo,46,46,"9,0",414,2.449,1.013.304
,,,,Otros Pastos,400,400,"31,5",12.625,501,6.326.972
Total 013,,,,,61.029,61.029,"22,8",1.393.577,1.461,2.036.222.762
014,"Rio Colorado, BC.",Otoño-Invierno,Riego,Acelga,315,315,"12,1",3.821,7.828,29.910.206
,,,,Ajo,102,102,"11,3",1.149,47.363,54.397.870
,,,,Apio,30,30,"34,0",1.021,8.251,8.425.921
,,,,Avena Forrajera,2.957,2.957,"6,4",19.014,1.341,25.489.892
,,,,Betabel,130,130,"16,0",2.080,8.320,17.305.600
,,,,Brócoli,345,345,"15,3",5.281,18.130,95.738.968
,,,,Cártamo (Alazor),576,576,"1,9",1.066,5.613,5.980.776
,,,,Cebada Forrajera,67,67,"30,9",2.068,404,835.631
,,,,Cebolla Pequeña (cebollín),3.183,3.183,"13,5",43.066,12.801,551.282.139
,,,,Cilantro,265,265,"9,4",2.478,12.045,29.844.499
,,,,Col (Repollo),215,215,"23,9",5.141,4.069,20.916.328
,,,,Coliflor,235,235,"18,0",4.230,14.400,60.912.000
,,,,Espinaca,215,215,"15,3",3.285,10.169,33.407.823
,,,,Lechuga,320,320,"17,0",5.424,9.737,52.813.217
,,,,Otros Cultivos,1.060,1.060,"14,7",15.580,11.961,186.347.700
,,,,Pápalo (Papaloquelite),175,175,"16,0",2.800,12.800,35.840.000
,,,,Rábano,200,200,"13,0",2.606,11.099,28.923.056
,,,,Rye Grass (Zacate ballico),2.353,2.353,"42,9",100.920,405,40.872.669
,,,,Trigo Grano,90.030,90.030,"6,5",583.394,3.579,2.087.764.370
,,Primavera-Verano,Riego,Algodón,36.723,36.723,"4,3",157.174,8.800,1.383.135.072
,,,,Calabacita (calabacín),100,100,"13,1",1.305,4.013,5.236.835
,,,,Cebolla Pequeña (cebollín),2.398,2.398,"13,5",32.445,12.801,415.323.459
,,,,Maíz Elotero,347,347,"13,7",4.750,3.161,15.017.439
,,,,Melón,150,150,"15,9",2.390,2.104,5.027.436
,,,,Otros Cultivos,175,175,"13,1",2.284,4.013,9.164.460
,,,,Sandía,217,217,"23,7",5.139,2.618,13.455.165
,,,,Sorgo Forrajero,5.938,5.938,"36,4",216.143,328,70.871.194
,,,,Sorgo Grano,2.790,2.790,"4,5",12.555,2.646,33.219.000
,,,,Tomate de cáscara (Tomatillo),115,115,"11,5",1.327,2.894,3.841.026
,,Perennes,Riego,Alfalfa,31.314,31.314,"14,1",440.588,2.257,994.424.694
,,,,Bermuda (Zacate),1.864,1.864,"0,5",895,34.450,30.823.104
,,,,Espárrago,1.809,1.809,"4,3",7.797,33.492,261.128.609
,,,,Frutales Asociados,1.132,1.132,"18,0",20.376,2.774,56.533.008
,,,,Vid,215,215,"9,0",1.935,10.809,20.916.112
Total 014,,,,,188.060,188.060,"9,1",1.711.525,3.906,6.685.125.277
016,"Edo.De Morelos, Mor.",Otoño-Invierno,Riego,Calabacita (calabacín),381,381,"11,0",4.191,4.000,16.764.000
,,,,Cebolla,508,508,"18,0",9.144,3.000,27.432.000
,,,,Ejote,614,614,"7,0",4.298,5.000,21.490.000
,,,,Frijol (Alubia),98,98,"1,5",147,23.000,3.381.000
,,,,Gladiola,90,90,"13,0",1.170,15.000,17.550.000
,,,,Jitomate (tomate rojo),40,40,"18,5",740,6.000,4.440.000
,,,,Maíz grano,867,867,"4,0",3.468,4.500,15.606.000
,,,,Okra,15,14,"13,0",182,6.000,1.092.000
,,,,Otras Hortalizas,116,116,"11,5",1.334,2.500,3.335.000
,,,,Otros Cultivos,131,131,"10,0",1.310,3.000,3.930.000
,,,,Pepino,101,101,"20,0",2.020,3.000,6.060.000
,,,,Tomate de cáscara (Tomatillo),77,77,"13,5",1.040,5.000,5.197.500
,,Primavera-Verano,Riego,Arróz,585,585,"9,0",5.265,4.500,23.692.500
,,,,Cebolla,186,186,"18,0",3.348,4.000,13.392.000
,,,,Ejote,310,310,"7,0",2.170,5.000,10.850.000
,,,,Frijol (Alubia),56,56,"1,5",84,23.000,1.932.000
,,,,Gladiola,92,92,"13,0",1.196,15.000,17.940.000
,,,,Jícama (Nabo mexicano),104,104,"29,0",3.016,2.500,7.540.000
,,,,Jitomate (tomate rojo),26,26,"18,5",481,7.000,3.367.000
,,,,Maíz grano,750,750,"4,0",3.000,3.000,9.000.000
,,,,Okra,16,16,"13,0",208,6.000,1.248.000
,,,,Otras Hortalizas,138,138,"11,5",1.587,2.500,3.967.500
,,,,Otros Cultivos,203,203,"10,0",2.030,3.000,6.090.000
,,,,Pepino,58,58,"20,0",1.160,4.000,4.640.000
,,,,Sorgo Grano,56,56,"5,0",280,3.600,1.008.000
,,,,Tomate de cáscara (Tomatillo),34,34,"13,5",459,5.000,2.295.000
,,Perennes,Riego,Aguacate,35,35,"11,0",385,15.000,5.775.000
,,,,Alfalfa,47,47,"55,0",2.585,1.500,3.877.500
,,,,Caña de Azúcar,12.786,12.786,"102,7",1.313.122,803,1.055.041.163
,,,,Limón,15,15,"9,0",135,4.000,540.000
,,,,Mango,109,109,"12,0",1.308,7.000,9.156.000
,,,,Otros Cultivos,379,379,"11,0",4.169,3.200,13.340.800
,,,,Otros Forrajes,17,17,"28,0",476,1.800,856.800
,,,,Otros Frutales,485,485,"12,0",5.820,4.000,23.280.000
,,,,Papayo,10,10,"21,0",210,6.000,1.260.000
,,,,Rosal,313,313,"21,0",6.573,8.500,55.870.500
,,Segundos Cultivos,Riego,Arróz,226,226,"9,0",2.034,4.500,9.153.000
,,,,Cacahuate,1,1,"1,5",2,7.000,10.500
,,,,Cebolla,18,18,"18,0",324,3.000,972.000
,,,,Ejote,45,45,"7,0",315,5.000,1.575.000
,,,,Frijol (Alubia),16,16,"1,5",24,23.000,552.000
,,,,Gladiola,19,19,"13,0",247,15.000,3.705.000
