,,,,,,,,,,,,,,,,SUPERFICIES FÍSICAS REGADAS Y VOLÚMENES DISTRIBUÍDOS
,,,,,,,,,,,,,,,,AÑO AGRÍCOLA 1997-1998
,,,,,,,,,,,,,,,,
DISTRITO,,NUMERO DE CULTIVOS,CONCEPTO,GRAVEDAD-PRESAS,,,GRAVEDAD-DERIVACION,,,BOMBEO CORRIENTES,,,BOMBEO POZOS,,,Total general
,,,,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,
,,,Lamina Bruta (cm),226,0,226,0,0,0,0,0,0,0,0,0,226
Suma de Usuarios 018,,,,1.790,,1.790,,,,,,,,,,1.790
Suma de Superficie Física Regada 018,,,,17.351,,17.351,,,,,,,,,,17.351
Suma de Volumen Bruto 018,,,,265.425,,265.425,,,,,,,,,,265.425
Lámina Bruta 018,,,,153,0,153,0,0,0,0,0,0,0,0,0,153
019,"Tehuantepec, Oax.",1 cultivo,Usuarios,3.326,1.706,5.032,218,,218,,,,,,,5.250
,,,Superficie Física Regada (ha),11.644,10.236,21.880,766,,766,,,,,,,22.646
,,,Volumen Bruto (miles m3),230.581,201.444,432.025,14.498,,14.498,,,,,,,446.524
,,,Lamina Bruta (cm),198,197,197,189,0,189,0,0,0,0,0,0,197
,,2 cultivos,Usuarios,62,41,103,,,,,,,,,,103
,,,Superficie Física Regada (ha),218,208,426,,,,,,,,,,426
,,,Volumen Bruto (miles m3),3.514,3.351,6.865,,,,,,,,,,6.865
,,,Lamina Bruta (cm),161,161,161,0,0,0,0,0,0,0,0,0,161
Suma de Usuarios 019,,,,3.388,1.747,5.135,218,,218,,,,,,,5.353
Suma de Superficie Física Regada 019,,,,11.862,10.444,22.306,766,,766,,,,,,,23.072
Suma de Volumen Bruto 019,,,,234.095,204.796,438.891,14.498,,14.498,,,,,,,453.389
Lámina Bruta 019,,,,197,196,197,189,0,189,0,0,0,0,0,0,197
020,"Morelia, Mich.",1 cultivo,Usuarios,2.119,1.228,3.347,127,95,222,,,,987,470,1.457,5.026
,,,Superficie Física Regada (ha),8.559,4.636,13.195,343,270,613,,,,2.947,1.671,4.618,18.426
,,,Volumen Bruto (miles m3),38.259,20.988,59.247,624,491,1.116,,,,14.318,8.378,22.696,83.058
,,,Lamina Bruta (cm),45,45,45,18,18,18,0,0,0,49,50,49,45
,,2 cultivos,Usuarios,61,49,110,,,,,,,39,25,64,174
,,,Superficie Física Regada (ha),213,184,397,,,,,,,152,105,257,654
,,,Volumen Bruto (miles m3),443,386,829,,,,,,,276,189,465,1.294
,,,Lamina Bruta (cm),21,21,21,0,0,0,0,0,0,18,18,18,20
Suma de Usuarios 020,,,,2.180,1.277,3.457,127,95,222,,,,1.026,495,1.521,5.200
Suma de Superficie Física Regada 020,,,,8.772,4.820,13.592,343,270,613,,,,3.099,1.776,4.875,19.080
Suma de Volumen Bruto 020,,,,38.702,21.373,60.075,624,491,1.116,,,,14.594,8.567,23.161,84.352
Lámina Bruta 020,,,,44,44,44,18,18,18,0,0,0,47,48,48,44
023,"San Juan Del Rio, Qro.",1 cultivo,Usuarios,350,15,365,,,,,,,1.300,35,1.335,1.700
,,,Superficie Física Regada (ha),1.050,18,1.068,,,,,,,3.879,138,4.017,5.085
,,,Volumen Bruto (miles m3),5.358,176,5.534,,,,,,,58.466,1.094,59.560,65.095
,,,Lamina Bruta (cm),51,98,52,0,0,0,0,0,0,151,79,148,128
,,2 cultivos,Usuarios,,,,,,,,,,336,,336,336
,,,Superficie Física Regada (ha),,,,,,,,,,1.345,,1.345,1.345
,,,Volumen Bruto (miles m3),,,,,,,,,,4.061,,4.061,4.061
,,,Lamina Bruta (cm),0,0,0,0,0,0,0,0,0,30,0,30,30
Suma de Usuarios 023,,,,350,15,365,,,,,,,1.636,35,1.671,2.036
Suma de Superficie Física Regada 023,,,,1.050,18,1.068,,,,,,,5.224,138,5.362,6.430
Suma de Volumen Bruto 023,,,,5.358,176,5.534,,,,,,,62.528,1.094,63.622,69.156
Lámina Bruta 023,,,,51,98,52,0,0,0,0,0,0,120,79,119,108
024,"Cienega De Chapala, Mich.",1 cultivo,Usuarios,376,66,442,1.624,287,1.911,195,49,244,164,70,234,2.831
,,,Superficie Física Regada (ha),1.376,243,1.619,5.947,1.049,6.996,744,186,930,689,295,984,10.529
,,,Volumen Bruto (miles m3),8.560,1.511,10.070,28.677,5.061,33.738,3.541,885,4.426,3.142,1.347,4.488,52.722
,,,Lamina Bruta (cm),62,62,62,48,48,48,48,48,48,46,46,46,50
,,2 cultivos,Usuarios,161,28,189,696,123,819,84,21,105,70,30,100,1.213
,,,Superficie Física Regada (ha),590,104,694,2.549,450,2.999,319,80,399,295,127,422,4.514
,,,Volumen Bruto (miles m3),3.668,647,4.316,12.290,2.169,14.459,1.518,379,1.897,1.347,577,1.924,22.595
,,,Lamina Bruta (cm),62,62,62,48,48,48,48,47,48,46,45,46,50
Suma de Usuarios 024,,,,537,94,631,2.320,410,2.730,279,70,349,234,100,334,4.044
Suma de Superficie Física Regada 024,,,,1.966,347,2.313,8.496,1.499,9.995,1.063,266,1.329,984,422,1.406,15.043
Suma de Volumen Bruto 024,,,,12.228,2.158,14.386,40.967,7.230,48.197,5.058,1.265,6.323,4.488,1.924,6.412,75.318
Lámina Bruta 024,,,,62,62,62,48,48,48,48,48,48,46,46,46,50
025,"Bajo Rio Bravo, Tamps.",1 cultivo,Usuarios,5.743,8.056,13.799,,,,98,137,235,,,,14.034
,,,Superficie Física Regada (ha),50.040,135.293,185.333,,,,853,2.307,3.160,,,,188.493
,,,Volumen Bruto (miles m3),129.338,349.690,479.027,,,,1.593,4.307,5.900,,,,484.928
,,,Lamina Bruta (cm),26,26,26,0,0,0,19,19,19,0,0,0,26
Suma de Usuarios 025,,,,5.743,8.056,13.799,,,,98,137,235,,,,14.034
Suma de Superficie Física Regada 025,,,,50.040,135.293,185.333,,,,853,2.307,3.160,,,,188.493
